person_id,org_id,role_in_org
PER_0976,ORG_0061,Enforcer
PER_0977,ORG_0004,Courier
PER_0978,ORG_0001,Money Launderer
PER_0979,ORG_0072,Kingpin
PER_0981,ORG_0029,Smuggler
PER_0983,ORG_0047,Smuggler
PER_0985,ORG_0108,Courier
PER_0986,ORG_0058,Associate
PER_0987,ORG_0116,Associate
PER_0988,ORG_0017,Associate
PER_0989,ORG_0025,Money Launderer
PER_0990,ORG_0036,Informant
PER_0991,ORG_0095,Money Launderer
PER_0992,ORG_0044,Courier
PER_0994,ORG_0021,Courier
PER_0995,ORG_0059,Money Launderer
PER_0996,ORG_0048,Money Launderer
PER_0997,ORG_0107,Money Launderer
PER_0998,ORG_0004,Lieutenant
PER_0999,ORG_0053,Money Launderer
PER_1000,ORG_0003,Enforcer
