case_id,person_id,involvement_type
CASE_0192,PER_0408,Co-conspirator
CASE_0193,PER_0182,Accused
CASE_0193,PER_0996,Witness
CASE_0193,PER_0895,Accused
CASE_0193,PER_0426,Witness
CASE_0194,PER_0909,Co-conspirator
CASE_0194,PER_0223,Witness
CASE_0194,PER_0200,Prime Suspect
CASE_0195,PER_0283,Prime Suspect
CASE_0195,PER_0273,Co-conspirator
CASE_0195,PER_0373,Accused
CASE_0195,PER_0372,Co-conspirator
CASE_0196,PER_0957,Prime Suspect
CASE_0196,PER_0151,Witness
CASE_0196,PER_0087,Co-conspirator
CASE_0196,PER_0080,Co-conspirator
CASE_0197,PER_0272,Co-conspirator
CASE_0197,PER_0301,Accused
CASE_0197,PER_0582,Prime Suspect
CASE_0197,PER_0341,Co-conspirator
CASE_0197,PER_0490,Accused
CASE_0197,PER_0657,Co-conspirator
CASE_0198,PER_0244,Prime Suspect
CASE_0198,PER_0518,Accused
CASE_0198,PER_0113,Prime Suspect
CASE_0198,PER_0921,Prime Suspect
CASE_0198,PER_0376,Witness
CASE_0199,PER_0771,Accused
CASE_0199,PER_0503,Co-conspirator
CASE_0199,PER_0658,Witness
CASE_0199,PER_0626,Co-conspirator
CASE_0200,PER_0601,Witness
CASE_0200,PER_0611,Accused
CASE_0200,PER_0900,Co-conspirator
CASE_0201,PER_0746,Witness
CASE_0201,PER_0210,Co-conspirator
CASE_0201,PER_0331,Prime Suspect
CASE_0201,PER_0220,Co-conspirator
CASE_0201,PER_0668,Accused
CASE_0202,PER_0063,Co-conspirator
CASE_0202,PER_0476,Prime Suspect
CASE_0203,PER_0378,Accused
CASE_0203,PER_0967,Co-conspirator
CASE_0203,PER_0667,Witness
CASE_0203,PER_0078,Accused
CASE_0204,PER_0050,Witness
CASE_0204,PER_0348,Accused
CASE_0204,PER_0981,Co-conspirator
CASE_0205,PER_0758,Prime Suspect
CASE_0205,PER_0202,Accused
CASE_0205,PER_0079,Co-conspirator
CASE_0205,PER_0027,Witness
CASE_0206,PER_0926,Witness
CASE_0206,PER_0973,Witness
CASE_0206,PER_0245,Accused
CASE_0206,PER_0761,Co-conspirator
CASE_0207,PER_0763,Prime Suspect
CASE_0207,PER_0049,Co-conspirator
CASE_0207,PER_0838,Witness
CASE_0208,PER_0436,Witness
CASE_0208,PER_0431,Prime Suspect
CASE_0209,PER_0387,Witness
CASE_0209,PER_0829,Accused
CASE_0210,PER_0936,Accused
CASE_0210,PER_0317,Prime Suspect
CASE_0210,PER_0622,Witness
CASE_0210,PER_0105,Prime Suspect
CASE_0210,PER_0903,Witness
CASE_0211,PER_0010,Co-conspirator
CASE_0211,PER_0435,Witness
CASE_0211,PER_0080,Prime Suspect
CASE_0211,PER_0870,Co-conspirator
CASE_0212,PER_0010,Prime Suspect
CASE_0212,PER_0105,Accused
CASE_0212,PER_0111,Accused
CASE_0212,PER_0923,Prime Suspect
CASE_0212,PER_0169,Witness
CASE_0212,PER_0327,Prime Suspect
CASE_0213,PER_0932,Prime Suspect
CASE_0213,PER_0261,Accused
CASE_0214,PER_0170,Witness
CASE_0214,PER_0572,Accused
CASE_0214,PER_0951,Accused
CASE_0214,PER_0831,Prime Suspect
CASE_0214,PER_0636,Accused
CASE_0215,PER_0568,Prime Suspect
CASE_0215,PER_0401,Co-conspirator
CASE_0216,PER_0562,Witness
CASE_0216,PER_0303,Witness
CASE_0216,PER_0145,Witness
CASE_0216,PER_0381,Witness
CASE_0216,PER_0038,Co-conspirator
CASE_0216,PER_0871,Accused
CASE_0217,PER_0954,Prime Suspect
CASE_0217,PER_0064,Co-conspirator
CASE_0218,PER_0285,Co-conspirator
CASE_0218,PER_0859,Accused
CASE_0219,PER_0402,Accused
CASE_0219,PER_0015,Witness
CASE_0219,PER_0658,Accused
CASE_0219,PER_0488,Accused
CASE_0220,PER_0940,Co-conspirator
CASE_0220,PER_0434,Accused
CASE_0220,PER_0070,Co-conspirator
CASE_0220,PER_0736,Co-conspirator
CASE_0220,PER_0363,Witness
CASE_0220,PER_0593,Co-conspirator
CASE_0221,PER_0715,Witness
CASE_0221,PER_0448,Accused
CASE_0221,PER_0219,Accused
CASE_0221,PER_0917,Prime Suspect
CASE_0221,PER_0772,Co-conspirator
CASE_0222,PER_0511,Accused
CASE_0222,PER_0490,Witness
CASE_0222,PER_0589,Witness
CASE_0222,PER_0481,Witness
CASE_0223,PER_0481,Prime Suspect
CASE_0223,PER_0320,Prime Suspect
CASE_0224,PER_0601,Prime Suspect
CASE_0224,PER_0224,Co-conspirator
CASE_0224,PER_0620,Prime Suspect
CASE_0224,PER_0280,Co-conspirator
CASE_0225,PER_0584,Accused
CASE_0225,PER_0058,Co-conspirator
CASE_0225,PER_0999,Witness
CASE_0226,PER_0896,Co-conspirator
CASE_0226,PER_0137,Witness
CASE_0227,PER_0648,Witness
CASE_0227,PER_0987,Accused
CASE_0227,PER_0393,Co-conspirator
CASE_0227,PER_0436,Co-conspirator
CASE_0227,PER_0734,Witness
CASE_0227,PER_0016,Witness
CASE_0228,PER_0929,Co-conspirator
CASE_0228,PER_0498,Prime Suspect
CASE_0229,PER_0090,Co-conspirator
CASE_0229,PER_0059,Accused
CASE_0229,PER_0091,Witness
CASE_0230,PER_0680,Co-conspirator
CASE_0230,PER_0141,Co-conspirator
CASE_0230,PER_0389,Prime Suspect
CASE_0231,PER_0024,Co-conspirator
CASE_0231,PER_0898,Co-conspirator
CASE_0231,PER_0804,Prime Suspect
CASE_0231,PER_0134,Co-conspirator
CASE_0231,PER_0876,Accused
CASE_0231,PER_0285,Co-conspirator
CASE_0232,PER_0383,Co-conspirator
CASE_0232,PER_0247,Accused
CASE_0232,PER_0345,Witness
CASE_0232,PER_0162,Witness
CASE_0232,PER_0821,Co-conspirator
CASE_0233,PER_0843,Witness
CASE_0233,PER_0458,Co-conspirator
CASE_0234,PER_0470,Co-conspirator
CASE_0234,PER_0918,Co-conspirator
CASE_0234,PER_0229,Accused
CASE_0234,PER_0498,Co-conspirator
CASE_0235,PER_0175,Co-conspirator
CASE_0235,PER_0966,Co-conspirator
CASE_0236,PER_0469,Prime Suspect
CASE_0236,PER_0813,Prime Suspect
CASE_0236,PER_0607,Witness
CASE_0236,PER_0866,Co-conspirator
CASE_0236,PER_0656,Accused
CASE_0237,PER_0873,Accused
CASE_0237,PER_0492,Co-conspirator
CASE_0237,PER_0604,Witness
CASE_0238,PER_0899,Witness
CASE_0238,PER_0166,Witness
CASE_0238,PER_0215,Co-conspirator
CASE_0238,PER_0806,Prime Suspect
CASE_0239,PER_0062,Co-conspirator
CASE_0239,PER_0840,Co-conspirator
CASE_0239,PER_0230,Prime Suspect
CASE_0240,PER_0001,Prime Suspect
CASE_0240,PER_0061,Co-conspirator
CASE_0240,PER_0574,Prime Suspect
CASE_0240,PER_0269,Accused
CASE_0240,PER_0778,Co-conspirator
CASE_0241,PER_0425,Co-conspirator
CASE_0241,PER_0578,Witness
CASE_0241,PER_0758,Co-conspirator
CASE_0242,PER_0858,Co-conspirator
CASE_0242,PER_0712,Prime Suspect
CASE_0242,PER_0557,Accused
CASE_0243,PER_0892,Accused
CASE_0243,PER_0494,Co-conspirator
CASE_0243,PER_0385,Witness
CASE_0243,PER_0723,Prime Suspect
CASE_0243,PER_0254,Co-conspirator
CASE_0243,PER_0342,Accused
CASE_0244,PER_0766,Co-conspirator
CASE_0244,PER_0172,Accused
CASE_0244,PER_0023,Prime Suspect
CASE_0244,PER_0278,Witness
CASE_0244,PER_0061,Accused
CASE_0245,PER_0270,Prime Suspect
CASE_0245,PER_0907,Prime Suspect
CASE_0245,PER_0418,Witness
CASE_0246,PER_0508,Witness
CASE_0246,PER_0194,Co-conspirator
CASE_0246,PER_0460,Accused
CASE_0246,PER_0148,Accused
CASE_0246,PER_0534,Prime Suspect
CASE_0246,PER_0184,Co-conspirator
CASE_0247,PER_0729,Prime Suspect
CASE_0247,PER_0978,Witness
CASE_0248,PER_0824,Witness
CASE_0248,PER_0906,Prime Suspect
CASE_0249,PER_0208,Accused
CASE_0249,PER_0849,Prime Suspect
CASE_0249,PER_0756,Co-conspirator
CASE_0250,PER_0289,Co-conspirator
CASE_0250,PER_0089,Accused
CASE_0250,PER_0542,Witness
CASE_0250,PER_0666,Witness
