vehicle_id,registration_number,vehicle_type,color
VEH_0590,DL04WY1100,SUV,White
VEH_0591,DL07WF2621,Van,White
VEH_0592,DL02LQ3039,Van,Grey
VEH_0593,DL08XA6997,Van,Black
VEH_0594,DL07DY2836,Van,Dark Blue
VEH_0595,DL04RL6444,Van,Grey
VEH_0596,DL02XS6127,Van,Dark Blue
VEH_0597,DL12PF2543,Motorcycle,Grey
VEH_0598,DL09BW1824,Truck,White
VEH_0599,DL08RY4538,Sedan,Grey
VEH_0600,DL07TE9331,Van,Dark Blue
VEH_0601,DL03ZQ5523,Truck,Silver
VEH_0602,DL01VD9419,SUV,White
VEH_0603,DL12YP3662,Sedan,Black
VEH_0604,DL03RG5825,Van,White
VEH_0605,DL11HE3547,Sedan,Silver
VEH_0606,DL02II8983,Truck,White
VEH_0607,DL12EX9599,Sedan,Black
VEH_0608,DL07LS4215,Sedan,White
VEH_0609,DL12UX1213,SUV,Black
VEH_0610,DL11GB5538,SUV,White
VEH_0611,DL03EW8191,Motorcycle,Silver
VEH_0612,DL03WD4992,Truck,White
VEH_0613,DL01YY3140,Van,Black
VEH_0614,DL07KB7670,Truck,Dark Blue
VEH_0615,DL04AV1941,Truck,Grey
VEH_0616,DL04OO8530,Truck,Dark Blue
VEH_0617,DL10DT9802,SUV,White
VEH_0618,DL02VA3652,Van,Black
VEH_0619,DL07VV2212,Motorcycle,Silver
VEH_0620,DL07TB3607,Van,Grey
VEH_0621,DL04DZ1477,Truck,White
VEH_0622,DL12RI2095,Van,Dark Blue
VEH_0623,DL07FE2329,SUV,Black
VEH_0624,DL07PA9209,Sedan,Silver
VEH_0625,DL07RL7843,Motorcycle,Dark Blue
VEH_0626,DL01MH7455,SUV,Black
VEH_0627,DL10QZ7450,Truck,Silver
VEH_0628,DL01JS5701,Truck,Silver
VEH_0629,DL11BO8069,Motorcycle,White
VEH_0630,DL11JT4089,SUV,Grey
VEH_0631,DL07LA5952,Van,Dark Blue
VEH_0632,DL03OG3121,SUV,Dark Blue
VEH_0633,DL03ND2449,Truck,White
VEH_0634,DL05GZ7732,SUV,Silver
VEH_0635,DL11RW6252,Truck,White
VEH_0636,DL02VQ9408,Sedan,Grey
VEH_0637,DL12PT2607,Van,Dark Blue
VEH_0638,DL03UH6097,Sedan,Grey
VEH_0639,DL10VM5319,SUV,White
VEH_0640,DL09KZ4922,SUV,Silver
VEH_0641,DL08FL1943,Truck,Grey
VEH_0642,DL04HH5271,SUV,Black
VEH_0643,DL12HC2289,Truck,Grey
VEH_0644,DL08MA7125,Truck,Silver
VEH_0645,DL08YX7396,Van,Silver
VEH_0646,DL08KZ8430,Motorcycle,Grey
VEH_0647,DL12XZ5395,Truck,White
VEH_0648,DL06HN7073,Van,Dark Blue
VEH_0649,DL05MM9237,Motorcycle,Black
VEH_0650,DL07GI3072,Sedan,White
VEH_0651,DL06JL1362,Van,Black
VEH_0652,DL10KT6019,Van,Black
VEH_0653,DL06FY7538,Van,White
VEH_0654,DL06ZL7247,Motorcycle,Silver
VEH_0655,DL08FD4924,Sedan,Dark Blue
VEH_0656,DL05EH7028,Van,Black
VEH_0657,DL05FM3007,Truck,Black
VEH_0658,DL11IU9920,Van,White
VEH_0659,DL04ZF7806,Sedan,Silver
VEH_0660,DL06JG1914,Motorcycle,Grey
VEH_0661,DL07HV8502,SUV,Black
VEH_0662,DL11AA9751,Sedan,Dark Blue
VEH_0663,DL09LF3327,Sedan,Black
VEH_0664,DL06XR8317,Sedan,Grey
VEH_0665,DL05KF4426,Truck,Silver
VEH_0666,DL12FN9281,Motorcycle,Silver
VEH_0667,DL05VU9160,Sedan,Black
VEH_0668,DL08GU3680,Sedan,Grey
VEH_0669,DL07ZK3418,SUV,Dark Blue
VEH_0670,DL08OE8044,Motorcycle,Silver
VEH_0671,DL07GG8668,Sedan,Black
VEH_0672,DL05BU1764,Truck,White
VEH_0673,DL08RC1402,Truck,Silver
VEH_0674,DL11QV1747,Sedan,Black
VEH_0675,DL03PV3919,SUV,Black
VEH_0676,DL05FK8587,SUV,Black
VEH_0677,DL07AT5933,SUV,Grey
VEH_0678,DL12ZD4565,Motorcycle,Grey
VEH_0679,DL11WC9099,SUV,Black
VEH_0680,DL04DG7194,Van,Silver
VEH_0681,DL06WE9488,Motorcycle,White
VEH_0682,DL12AT4055,Van,Dark Blue
VEH_0683,DL04LE7119,Van,Silver
VEH_0684,DL11VG4844,SUV,White
VEH_0685,DL03UW8253,SUV,Grey
VEH_0686,DL04QT3855,Sedan,Silver
VEH_0687,DL06PW4638,Truck,White
VEH_0688,DL03HN7993,Sedan,Grey
VEH_0689,DL06BP7506,Sedan,Black
VEH_0690,DL09OB9379,SUV,Dark Blue
VEH_0691,DL10PZ2979,Van,White
VEH_0692,DL04MB2616,Sedan,Dark Blue
VEH_0693,DL02EM2634,Truck,Grey
VEH_0694,DL04RV3996,Sedan,Dark Blue
VEH_0695,DL11ZU8122,Truck,Grey
VEH_0696,DL05YM8839,SUV,Silver
VEH_0697,DL08YI3146,SUV,White
VEH_0698,DL04WE3320,SUV,Grey
VEH_0699,DL01UD5784,Truck,White
VEH_0700,DL06RV3527,SUV,White
VEH_0701,DL12LM1936,Motorcycle,White
VEH_0702,DL10KG7088,Sedan,Dark Blue
VEH_0703,DL04UZ8844,SUV,Black
VEH_0704,DL11DR1908,Truck,Dark Blue
VEH_0705,DL11ZP5518,Sedan,White
VEH_0706,DL01PV6165,SUV,Grey
VEH_0707,DL05YD6307,SUV,Black
VEH_0708,DL11CH7313,SUV,Dark Blue
VEH_0709,DL11BQ5699,Motorcycle,White
VEH_0710,DL10XP6986,Motorcycle,Black
VEH_0711,DL06XI8801,Sedan,Silver
VEH_0712,DL06IS2191,SUV,Black
VEH_0713,DL06CN5385,Sedan,Black
VEH_0714,DL10YV6606,Truck,Dark Blue
VEH_0715,DL05AS2496,Van,Dark Blue
VEH_0716,DL10GS6259,Motorcycle,Grey
VEH_0717,DL08LZ4028,Sedan,Dark Blue
VEH_0718,DL01ZE1297,Truck,White
VEH_0719,DL07FV1244,Sedan,Grey
VEH_0720,DL11PD3227,Sedan,White
VEH_0721,DL05CG4991,Motorcycle,Grey
VEH_0722,DL07OR8436,Motorcycle,Black
VEH_0723,DL10QP4532,Sedan,White
VEH_0724,DL07PP4790,Sedan,Grey
VEH_0725,DL03EO7379,Sedan,Dark Blue
VEH_0726,DL06WS9690,Van,Grey
VEH_0727,DL08UR7887,Truck,White
VEH_0728,DL11GU6058,SUV,Black
VEH_0729,DL10CU7262,Truck,Silver
VEH_0730,DL04AQ6486,SUV,White
VEH_0731,DL02EB3597,Sedan,Grey
VEH_0732,DL02LA6719,Motorcycle,Dark Blue
VEH_0733,DL05JS8472,Truck,Dark Blue
VEH_0734,DL01WB1019,SUV,Dark Blue
VEH_0735,DL09OM6016,Truck,Grey
VEH_0736,DL11YN9133,Motorcycle,Silver
VEH_0737,DL10OS8375,Truck,Black
VEH_0738,DL07GM6694,Motorcycle,Black
VEH_0739,DL05KB1377,Motorcycle,White
VEH_0740,DL06KW4614,Motorcycle,White
VEH_0741,DL01SX7326,Truck,Grey
VEH_0742,DL07TF8608,Motorcycle,Black
VEH_0743,DL02US6867,SUV,Grey
VEH_0744,DL12MH6260,SUV,Black
VEH_0745,DL12LS8634,Sedan,White
VEH_0746,DL06LD3646,Van,White
VEH_0747,DL08NV4381,Motorcycle,Silver
VEH_0748,DL04CK5751,Van,Grey
VEH_0749,DL09SY6495,Van,Dark Blue
VEH_0750,DL06JN8120,SUV,Silver
VEH_0751,DL06YI5786,SUV,Silver
VEH_0752,DL12IZ2195,Truck,Grey
VEH_0753,DL02MS5007,Van,White
VEH_0754,DL12II8387,Truck,White
VEH_0755,DL10IN5322,Sedan,Grey
VEH_0756,DL11VW3807,SUV,White
VEH_0757,DL01SK9200,Motorcycle,White
VEH_0758,DL10XP4580,Van,Grey
VEH_0759,DL11YQ5417,Sedan,White
VEH_0760,DL03DA8299,SUV,Black
VEH_0761,DL12FD8843,Sedan,Dark Blue
VEH_0762,DL06JQ6697,SUV,Silver
VEH_0763,DL11WZ7763,Truck,Silver
VEH_0764,DL08ZS3161,SUV,Black
VEH_0765,DL04AB5944,Truck,Grey
VEH_0766,DL07JM2050,SUV,Grey
VEH_0767,DL04SB1448,SUV,Silver
VEH_0768,DL02EY2880,SUV,Dark Blue
VEH_0769,DL06ML9663,Van,Dark Blue
VEH_0770,DL04KS6527,Motorcycle,Black
VEH_0771,DL09NZ2292,Van,Grey
VEH_0772,DL04CI6906,Van,Silver
VEH_0773,DL04IW6361,Motorcycle,Dark Blue
VEH_0774,DL04CC4650,Van,Grey
VEH_0775,DL06BG5859,SUV,White
VEH_0776,DL07FV3223,Sedan,White
VEH_0777,DL04JO5796,SUV,Silver
VEH_0778,DL07GU2765,Sedan,Silver
VEH_0779,DL04VO7810,Van,Dark Blue
VEH_0780,DL09AB6141,SUV,Grey
VEH_0781,DL05MY1821,SUV,Black
VEH_0782,DL11VP8178,Truck,Black
VEH_0783,DL08IG1615,Truck,White
VEH_0784,DL06BE4741,Van,Silver
VEH_0785,DL01FF5592,Motorcycle,Dark Blue
VEH_0786,DL06FO6517,SUV,White
VEH_0787,DL04EQ3511,Van,White
VEH_0788,DL01EA3202,Truck,Dark Blue
VEH_0789,DL10DG4349,Sedan,White
VEH_0790,DL01HG5155,Motorcycle,Dark Blue
VEH_0791,DL08CX3012,Motorcycle,Dark Blue
VEH_0792,DL06AO7993,SUV,Dark Blue
VEH_0793,DL10TL6164,SUV,Black
VEH_0794,DL03IU7065,SUV,Black
VEH_0795,DL02FH5232,Motorcycle,White
VEH_0796,DL04AG5437,SUV,Black
VEH_0797,DL03RJ8511,Sedan,Grey
VEH_0798,DL12ZY1268,Sedan,Dark Blue
VEH_0799,DL12FF3169,Truck,Black
VEH_0800,DL06BO7776,Truck,Grey
